wavelength,0,1,2,3,4,5,6,7,8,9,10
527.62,74,62,53,42,38,28,20,16,15,8,6
528.088,72,64,58,51,39,29,26,19,18,10,14
528.557,72,65,54,46,45,29,18,20,16,10,11
529.025,76,71,56,47,45,36,26,18,16,16,11
529.494,79,67,55,50,38,27,25,16,14,12,8
529.963,74,67,60,48,43,32,24,22,14,12,8
530.432,74,69,56,45,38,29,22,16,11,13,6
530.9,73,65,58,51,40,32,22,17,15,14,13
531.369,80,73,59,46,48,35,32,22,18,15,8
531.838,76,71,60,50,38,31,27,14,10,10,9
532.307,77,69,61,51,46,36,27,22,18,13,11
532.776,77,70,60,52,43,34,24,25,19,13,8
533.245,77,72,59,51,43,37,26,23,17,9,10
533.714,73,69,61,49,40,36,28,19,15,12,13
534.183,83,68,64,53,44,38,26,20,15,15,15
534.652,82,73,62,55,46,35,31,21,19,17,12
535.121,79,72,62,50,43,35,23,27,20,12,10
535.59,82,71,64,51,41,33,24,24,14,14,15
536.06,79,69,58,49,37,30,22,18,9,8,8
536.529,84,78,67,51,46,35,31,23,20,11,11
536.998,76,70,60,54,40,35,22,25,18,12,13
537.468,80,73,67,53,47,35,29,22,18,14,14
537.937,77,69,59,49,40,30,26,16,12,10,6
538.406,84,73,61,51,42,35,25,21,18,14,10
538.876,83,70,64,49,42,34,26,23,20,12,9
539.345,81,75,64,54,45,39,33,26,21,15,11
539.815,78,67,59,50,45,31,27,16,13,16,10
540.284,79,72,59,49,43,37,24,16,15,11,11
540.754,79,70.5,58,50,44,36,27.5,20,15.5,13.5,11
541.223,79,69,57,51,45,35,31,24,16,16,11
541.693,76,66,57,52,44,37,30,22,20,18,14
542.163,72,65,55,47,35,30,21,20,14,7,11
542.633,78,68,62,49,38,40,26,22,21,13,15
543.102,72,66,57,49,34,28,24,18,12,12,8
543.572,73,66,51,48,37,30,25,16,16,12,6
544.042,71,64,57,48,40,34,24,23,17,12,10
544.512,70,60,55,44,39,29,22,22,17,8,10
544.982,72,63,51,44,39,30,23,19,14,8,9
545.452,73,64,58,46,44,29,26,16,16,13,11
545.922,68,59,54,47,37,26,24,21,17,9,9
546.392,70,59,55,43,39,33,25,21,20,9,10
546.862,67,58,53,39,37,24,20,17,12,9,8
547.332,68,56,46,41,35,25,21,17,13,10,9
547.802,69,61,52,49,42,28,25,22,15,16,14
548.272,65,59,52,43,36,27,25,20,16,14,9
548.743,63,57,55,41,32,32,24,19,14,13,11
549.213,60,57,47,37,32,24,17,16,10,6,5
549.683,65,58,53,44,36,31,21,20,12,11,16
550.154,64,57,48,43,39,30,24,15,10,7,10
550.624,65,56,51,47,38,27,20,19,13,11,8
551.094,65,58,48,44,35,27,22,16,15,10,12
551.565,63,58,50,46,34,27,21,17,14,12,10
552.035,63,55,50,41,33,26,21,13,14,11,14
552.506,62,57,48,38,35,28,19,13,13,4,4
552.977,65,59,48,42,35,26,25,17,13,14,8
553.447,63,59,44,37,32,22,24,15,12,7,10
553.918,69,59,51,41,33,28,21,21,20,12,14
554.389,64,58,48,43,36,27,19,21,14,10,14
554.859,64,60,51,43,38,28,22,18,12,8,10
555.33,57,53,46,34,30,22,17,13,11,5,12
555.801,51,49,43,32,30,19,16,10,5,6,1
556.272,62,50,46,40,31,21,17,16,12,8,9
556.743,62,49,42,35,33,23,21,15,9,7,6
557.213,62,56,44,41,32,25,22,16,10,8,8
557.684,57,55,43,34,30,30,19,17,15,11,12
558.155,55,48,42,36,29,28,15,12,10,8,7
558.626,54,49,40,38,29,25,15,14,11,11,8
559.098,59,50,44,39,38,25,19,15,14,11,11
559.569,57,51,39,38,30,24,23,15,13,12,8
560.04,55,51,42,35,28,22,17,15,13,7,10
560.511,54,46,42,36,31,24,16,18,9,12,9
560.982,49,43,37,35,26,19,17,16,11,9,8
561.453,48,42,36,33,28,20,16,14,9,9,5
561.925,51,48,39,33,27,20,18,13,11,13,9
562.396,50,44,35,28,26,22,14,15,10,7,11
562.867,50,42,42,33,30,22,19,15,15,10,7
563.339,43,42,35,32,26,18,14,13,10,7,7
563.81,46,45,35,33,29,20,17,14,9,11,5
564.282,43,49,39,26,25,18,14,14,9,9,10
564.753,45,41,34,31,22,22,15,11,14,9,7
565.225,44,42,33,31,28,20,19,13,15,9,9
565.697,45,34,31,30,27,19,12,9,6,6,5
566.168,42,37,28,25,20,17,12,11,8,6,7
566.64,39,36,31,25,17,14,11,9,7,4,5
567.112,42,37,35,24,22,21,16,12,11,4,6
567.583,40,39,35,29,21,18,14,12,9,5,6
568.055,36,31,24,20,12,13,8,0,3,5,3
568.527,42,40,30,29,20,14,15,16,8,7,8
568.999,42,40,32,32,27,20,16,17,9,10,9
569.471,39,35,35,24,19,16,14,10,8,8,5
569.943,33,27,27,21,18,13,8,4,4,-1,-2
570.415,39,38,29,27,21,15,14,6,7,8,7
570.887,36,33,29,25,21,11,11,12,8,5,5
571.359,42,36,30,27,22,17,17,17,11,4,3
571.831,38,33,27,24,23,13,12,7,6,4,3
572.303,41,39,32,28,27,22,17,13,13,7,10
572.775,38,25,29,26,21,14,12,11,2,4,2
573.247,30,32,25,24,17,14,11,8,9,-2,1
573.72,37,38,32,24,22,17,13,9,8,7,10
574.192,39,39,34,28,20,19,15,13,16,4,7
574.664,40,33,28,25,20,18,13,13,8,8,7
575.137,42,36,31,28,18,20,16,10,10,11,6
575.609,39,35,32,26,22,15,16,12,8,4,8
576.082,39,36,33,28,22,13,16,7,9,8,7
576.554,38,37,29,23,27,16,13,9,11,9,6
577.027,39,34,28,22,19,20,12,11,10,7,5
577.499,39,38,28,26,21,16,16,11,11,9,14
577.972,34,33,23,18,13,8,6,5,5,3,0
