wavelength,1,2,3,4,5,6,7,8,9,10
506.107,134,90,67,58,43,34,25,24,15,2
506.574,135,94,70,59,46,36,24,23,15,7
507.04,137,97,68,57,46,35,28,25,14,13
507.507,132,93,72,61,48,36,27,24,12,16
507.974,135,97,76,65,54,38,29,23,14,13
508.441,141,101,72,66,51,41,33,25,15,15
508.908,137,103,75,63,50,40,26,27,16,11
509.375,138,100,71,65,50,33,29,21,12,8
509.842,138,103,77,66,53,35,31,23,17,13
510.31,143,104,75,68,55,36,32,24,16,16
510.777,139,94,72,62,45,38,25,20,13,9
511.244,148,107,78,69,53,42,30,27,16,12
511.711,147,109,82,71,57,36,34,32,19,16
512.178,151,108,79,71,55,40,33,27,19,17
512.646,148,106,77,69,60,39,31,28,20,11
513.113,152,114,82,70,55,44,31,26,21,13
513.58,149,110,80,68,48,42,31,23,15,11
514.048,149,109,78,66,51,37,29,24,12,9
514.515,154,112,83,68,52,43,35,26,16,14
514.983,160,119,84,75,56,44,35,30,18,16
515.45,161,122,87,75,57,51,35,29,20,18
515.918,158,111,81,70,57,42,32,21,17,12
516.386,166,120,88,79,62,43,38,33,18,12
516.853,162,118,84,77,55,43,35,23,16,16
517.321,169,128,88,79,60,53,35,30,24,14
517.789,162,122,90,74,60,47,34,26,18,16
518.256,164,119,86,72,57,40,30,21,17,12
518.724,168,124,91,78,59,45,36,28,21,12
519.192,170,122,87,78,56,39,29,24,15,7
519.66,167,121,90,75,58,47,31,24,21,12
520.128,173,125,92,77,62,52,35,27,20,14
520.596,173,122,95,82,62,48,35,31,22,20
521.064,170,124,91,76,63,45,37,29,20,10
521.532,168,130,93,81,64,51,39,27,22,15
522,165,118,81,73,56,42,31,23,14,10
522.468,171,126,90,79,62,50,39,28,21,16
522.936,164,123,88,72,62,46,38,27,17,13
523.404,168,123,90,78,61,45,38,26,22,15
523.873,167,122,86,75,58,46,30,18,18,13
524.341,169,119,86,79,56,45,31,27,23,10
524.809,165,125,92,79,61,46,36,31,19,14
525.277,166,120,90,78,64,42,29,26,15,15
525.746,163,116,91,78,61,49,39,25,18,16
526.214,169,124,91,74,62,47,37,27,18,11
526.683,168,122,90,80,62,48,42,29,23,17
527.151,162,122,86,73,57,40,35,26,18,10
527.62,160,116,85,70,58,42,31,21,14,7
528.088,162,114,83,72,60,42,33,29,17,10
528.557,162,118,90,75,54,47,37,24,21,8
529.025,164,121,87,73,65,48,35,28,21,16
529.494,162,120,91,74,57,43,33,29,17,11
529.963,165,121,94,77,58,45,35,29,18,17
530.432,163,116,88,76,55,44,34,28,18,12
530.9,166,121,86,74,62,49,37,24,16,10
531.369,172,128,93,79,62,47,36,28,23,12
531.838,169,118,88,78,59,48,34,28,19,12
532.307,172,121,91,78,59,42,37,26,16,16
532.776,172,123,92,83,65,48,38,32,23,17
533.245,173,127,91,80,59,47,40,32,19,12
533.714,173,125,91,82,61,51,35,28,20,14
534.183,177,131,96,78,62,46,39,29,23,16
534.652,179,128,97,84,67,50,36,32,22,16
535.121,176,130,91,80,63,51,38,28,17,15
535.59,177,129,94,83,62,48,37,30,20,15
536.06,175,125,90,77,57,49,28,25,19,12
536.529,183,132,98,85,67,50,38,31,21,18
536.998,178,126,94,81,63,44,33,28,19,14
537.468,182,133,97,86,63,53,37,30,22,17
537.937,178,126,93,78,62,46,31,23,16,12
538.406,180,129,95,82,63,49,38,27,23,12
538.876,176,127,89,87,62,42,38,30,21,16
539.345,183,135,101,84,66,50,39,35,22,19
539.815,173,126,91,81,57,48,37,30,20,11
540.284,167,125,92,77,66,47,35,29,21,11
540.754,169,124.5,90.5,78,63.5,46.5,37,30,19.5,13
541.223,171,124,89,79,61,46,39,31,18,15
541.693,169,125,91,78,59,47,34,28,22,15
542.163,168,116,92,73,59,46,35,27,17,12
542.633,165,117,91,77,62,47,35,28,22,12
543.102,162,118,90,74,57,43,33,29,13,16
543.572,161,114,81,73,52,45,34,27,18,12
544.042,159,114,83,75,59,45,36,28,19,16
544.512,159,113,83,73,56,44,31,24,17,14
544.982,156,117,82,71,57,45,30,26,15,10
545.452,156,116,84,70,56,41,34,30,16,15
545.922,157,112,75,67,57,40,31,27,16,11
546.392,158,111,81,70,55,43,32,26,19,10
546.862,148,110,79,67,50,40,26,22,18,12
547.332,147,110,79,66,48,39,32,18,16,8
547.802,155,114,84,70,54,44,35,28,14,16
548.272,152,104,80,68,47,40,32,20,16,13
548.743,153,107,78,68,53,41,33,27,15,15
549.213,144,104,73,66,48,34,25,16,11,8
549.683,147,108,80,68,52,41,32,25,16,13
550.154,150,104,76,66,54,40,34,23,17,14
550.624,153,106,78,67,51,39,32,21,12,9
551.094,153,108,76,66,51,40,31,26,16,14
551.565,148,107,80,69,54,41,33,26,17,9
552.035,146,106,77,64,54,38,29,22,18,15
552.506,150,102,73,63,48,37,30,24,14,12
552.977,154,106,75,68,51,41,29,22,15,12
553.447,144,106,75,60,47,38,29,22,13,9
553.918,149,106,77,64,57,40,27,29,18,14
554.389,144,109,73,65,48,38,30,22,17,16
554.859,146,104,73,63,53,40,33,23,17,13
555.33,141,96,69,61,44,33,26,17,9,9
555.801,137,98,68,54,42,30,25,19,9,8
556.272,131,101,66,60,45,32,25,22,10,6
556.743,139,99,68,56,44,37,27,22,13,10
557.213,138,90,73,63,48,35,25,24,17,13
557.684,135,95,69,61,47,39,28,22,15,11
558.155,131,97,65,60,42,36,27,21,15,8
